k,Nk,tk,dk,lk,etak,bk,gamk,epsk,ref
1,0.014799269,1.0,4.0,,,,,,1
2,3.06281562,0.426,1.0,,,,,,1
3,-4.25338698,0.631,1.0,,,,,,1
4,0.05192797,0.596,2.0,,,,,,1
5,-0.165087335,1.705,2.0,,,,,,1
6,0.087236897,0.568,3.0,,,,,,1
7,2.10653786,0.9524,1.0,1.0,,,,,1
8,-0.6283503,1.471,1.0,2.0,,,,,1
9,-0.28200301,1.48,3.0,2.0,,,,,1
10,1.04234019,1.393,2.0,1.0,,,,,1
11,-0.07620555,3.863,2.0,2.0,,,,,1
12,-1.35006365,0.803,1.0,1.0,,,,,1
13,0.11997252,3.273,1.0,2.0,-8.674,-8.005,1.1475,0.912,1
14,0.107245,0.66,1.0,2.0,-4.006,-1.15,1.7036,0.79,1
15,-0.35374839,2.629,1.0,2.0,-8.1099,-2.143,1.6795,0.90567,1
16,0.75348862,1.4379,2.0,2.0,-0.1449,-0.147,0.9512,5.1136,1
17,0.00701871,3.317,2.0,2.0,-0.1784,-0.154,4.475,3.6022,1
18,0.226283167,2.3676,2.0,2.0,-2.432,-0.701,2.7284,0.6488,1
19,-0.22464733,0.7545,3.0,2.0,-0.0414,-0.21,1.7167,4.2753,1
20,0.12413584,1.353,2.0,2.0,-0.421,-0.134,1.5237,2.744,1
21,0.00901399,1.982,2.0,2.0,-68575,-19.256,0.7649,0.8736,1